algorithm,k,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
greedy,9,1,Founders/Alumni Hall,Vadalabene Center,1085,2.50625,62.49375,17.361736173617363
greedy,9,1,Vadalabene Center,Science East,720,2.41875,62.58125,11.50504344352342
greedy,9,1,Science East,Science West,280,1.8000000000000003,63.2,4.430379746835443
greedy,9,1,Science West,Engineering Building,460,0.8000000000000003,64.2,7.165109034267912
greedy,9,1,Engineering Building,MUC,790,2.220446049250313e-16,65.0,12.153846153846153
knapsack,10,1,MUC,Rendleman Hall,300,17.169999999999998,47.83,6.272214091574326
knapsack,10,1,Rendleman Hall,Dunham Hall,625,16.869999999999997,48.13,12.985663827134843
knapsack,10,1,Dunham Hall,Library,645,16.689999999999998,48.31,13.351273028358518
knapsack,10,1,Library,Founders/Alumni Hall,300,15.989999999999998,49.010000000000005,6.121199755152009
knapsack,10,1,Founders/Alumni Hall,Vadalabene Center,1085,14.889999999999999,50.11,21.65236479744562
knapsack,10,1,Vadalabene Center,Science East,720,4.789999999999999,60.21,11.958146487294469
knapsack,10,1,Science East,Science West,280,2.669999999999999,62.33,4.492218835231831
knapsack,10,1,Science West,Engineering Building,460,1.469999999999999,63.53,7.240673697465764
knapsack,10,1,Engineering Building,Art and Design,245,0.14999999999999902,64.85,3.7779491133384737
knapsack,10,1,Art and Design,MUC,550,-9.71445146547012e-16,65.0,8.461538461538462
greedy,10,1,MUC,Rendleman Hall,300,17.169999999999998,47.83,6.272214091574326
greedy,10,1,Rendleman Hall,Dunham Hall,625,16.869999999999997,48.13,12.985663827134843
greedy,10,1,Dunham Hall,Library,645,16.689999999999998,48.31,13.351273028358518
greedy,10,1,Library,Founders/Alumni Hall,300,15.989999999999998,49.010000000000005,6.121199755152009
greedy,10,1,Founders/Alumni Hall,Vadalabene Center,1085,14.889999999999999,50.11,21.65236479744562
greedy,10,1,Vadalabene Center,Science East,720,4.789999999999999,60.21,11.958146487294469
greedy,10,1,Science East,Science West,280,2.669999999999999,62.33,4.492218835231831
greedy,10,1,Science West,Engineering Building,460,1.469999999999999,63.53,7.240673697465764
greedy,10,1,Engineering Building,Art and Design,245,0.14999999999999902,64.85,3.7779491133384737
greedy,10,1,Art and Design,MUC,550,-9.71445146547012e-16,65.0,8.461538461538462
