algorithm,k,reloads,total_time_s
knapsack,2,0,9.238593122088268
greedy,2,0,9.238593122088268
knapsack,3,0,18.2242098986285
greedy,3,0,23.419451016600302
knapsack,4,0,42.1669695644038
greedy,4,0,42.1669695644038
knapsack,5,0,50.20453609517762
greedy,5,0,50.20453609517762
knapsack,6,0,75.27620919637798
greedy,6,0,75.27620919637798
knapsack,7,0,75.86937245338589
greedy,7,0,78.3492444032021
knapsack,8,0,90.51917804954977
greedy,8,0,88.93088782813946
knapsack,9,0,62.64595104170642
greedy,9,0,83.76194723816982
knapsack,10,0,96.31324209453432
greedy,10,0,96.31324209453432
