algorithm,trip,from,to,distance_ft,load_lb,speed_ftps,time_s
greedy,1,Science West,Vadalabene Center,930,2.8475,62.1525,14.963195366236272
greedy,1,Vadalabene Center,MUC,1635,2.4975,62.5025,26.15895364185433
greedy,2,MUC,Art and Design,1330,14.989999999999998,50.010000000000005,26.594681063787238
greedy,2,Art and Design,Dunham Hall,1090,12.989999999999998,52.010000000000005,20.957508171505477
greedy,2,Dunham Hall,Rendleman Hall,625,11.239999999999998,53.760000000000005,11.625744047619046
greedy,2,Rendleman Hall,Founders/Alumni Hall,1085,10.239999999999998,54.760000000000005,19.813732651570486
greedy,2,Founders/Alumni Hall,Peck Hall,720,8.959999999999999,56.04,12.847965738758031
greedy,2,Peck Hall,Science East,695,7.859999999999999,57.14,12.16310815540777
greedy,2,Science East,Science West,245,7.109999999999999,57.89,4.2321644498186215
greedy,2,Science West,MUC,985,6.31,58.69,16.783097631623786
greedy,3,MUC,Art and Design,1330,12.86,52.14,25.50824702723437
greedy,3,Art and Design,Rendleman Hall,1565,10.69,54.31,28.81605597495857
greedy,3,Rendleman Hall,Peck Hall,400,8.57,56.43,7.08842814105972
greedy,3,Peck Hall,Library,280,6.470000000000001,58.53,4.783871518879208
greedy,3,Library,Science East,460,4.2700000000000005,60.73,7.574510126790713
greedy,3,Science East,MUC,940,2.0400000000000005,62.96,14.930114358322744
greedy,4,MUC,Engineering Building,1140,12.870000000000001,52.129999999999995,21.86840590830616
greedy,4,Engineering Building,Science West,550,9.870000000000001,55.129999999999995,9.976419372392527
greedy,4,Science West,Vadalabene Center,930,6.470000000000001,58.53,15.889287544848795
greedy,4,Vadalabene Center,MUC,1635,2.7200000000000006,62.28,26.252408477842003
greedy,5,MUC,Art and Design,1330,9.9,55.1,24.137931034482758
greedy,5,Art and Design,Library,1400,5.95,59.05,23.708721422523286
greedy,5,Library,MUC,575,0.0,65.0,8.846153846153847
greedy,6,MUC,Art and Design,1330,13.7,51.3,25.925925925925927
greedy,6,Art and Design,Peck Hall,1675,6.199999999999999,58.8,28.486394557823132
greedy,6,Peck Hall,MUC,645,-8.881784197001252e-16,65.0,9.923076923076923
greedy,7,MUC,Dunham Hall,590,9.9,55.1,10.707803992740471
greedy,7,Dunham Hall,MUC,590,0.0,65.0,9.076923076923077
greedy,8,MUC,Library,575,10.15,54.849999999999994,10.48313582497721
greedy,8,Library,MUC,575,0.0,65.0,8.846153846153847
greedy,9,MUC,Rendleman Hall,300,14.2,50.8,5.905511811023622
greedy,9,Rendleman Hall,MUC,300,0.0,65.0,4.615384615384615
