algorithm,numdrones,utilization,maxduration
greedy,1,1.0,88754.91955927896
knapsack,1,1.0000086440279907,115686.8072479389
greedy,2,0.9968765435966631,44503.45669091081
knapsack,2,0.9987706315013545,57396.53687197936
greedy,3,0.9947120144118389,29733.631645804428
knapsack,3,0.9861544994915789,38566.95287771963
greedy,4,0.9939685450083892,22319.63693914843
knapsack,4,0.9816877957634766,28918.98658697288
